said,2500
Sancho,1992
Quixote,1963
one,1403
would,1044
thou,991
say,802
good,747
may,719
thee,685
see,662
know,614
without,605
made,595
upon,589
could,582
time,582
well,537
come,537
great,525
let,521
make,517
like,510
though,498
God,486
said,2500
Sancho,1992
Quixote,1963
one,1403
would,1044
thou,991
say,802
good,747
may,719
thee,685
see,662
know,614
without,605
made,595
upon,589
could,582
time,582
well,537
come,537
great,525
let,521
make,517
like,510
though,498
God,486
